DMC_COLOR,COLOR_NAME,RGB_COLOR,R,G,B
Ecru,Ecru/off-white,#fff7e7,255,247,231
315,AntiqueMauve-MEDDK,#7d4246,125,66,70
Blanc,White,#eeeeee,238,238,238
316,AntiqueMauve-MED,#bc757f,188,117,127
B5200,SnowWhite,#fcfcff,252,252,255
317,PewterGray,#6d6469,109,100,105
White,White,#ffffff,255,255,255
318,SteelGray-LT,#999b9d,153,155,157
150,Red-BRIGHT,#cf0053,207,0,83
319,PistachioGreen-VYDK,#3a553b,58,85,59
151,Pink,#ffcbd7,255,203,215
320,PistachioGreen-MED,#608c59,96,140,89
152,Tawny-DK,#e1a1a1,225,161,161
321,Red,#bd1136,189,17,54
153,Lilac,#eac5eb,234,197,235
322,BabyBlue,#3a609d,58,96,157
154,Red-VYDK,#4b233a,75,35,58
326,Rose-VYDK,#ac1c37,172,28,55
155,Forget-me-notBlue,#9774b6,151,116,182
327,Violet,#5e0f77,94,15,119
156,Blue-MED,#8577b4,133,119,180
333,BlueViolet-VYDK,#6e2e9b,110,46,155
157,Blue-LT,#b5b8ea,181,184,234
334,BabyBlue-MED,#6085b8,96,133,184
158,Blue-DK,#393068,57,48,104
335,Rose,#d63d57,214,61,87
159,PetrolBlue-LT,#bcb5de,188,181,222
336,Blue,#0c275e,12,39,94
160,PetrolBlue-MED,#8178a9,129,120,169
340,BlueViolet-MED,#996dc3,153,109,195
161,PetrolBlue-DK,#60568b,96,86,139
341,BlueViolet-LT,#a39ad7,163,154,215
162,BabyBlue-LT,#cae7f0,202,231,240
347,Salmon-VYDK,#ab1b33,171,27,51
163,Green,#557a60,85,122,96
349,Coral-DK,#c62c38,198,44,56
164,Green-LT,#bae4b6,186,228,182
350,Coral-MED,#de3f40,222,63,64
165,Green-BRIGHT,#e1f477,225,244,119
351,Coral,#ed625b,237,98,91
166,LimeGreen,#adc238,173,194,56
352,Coral-LT,#f78372,247,131,114
167,KhakiBrown,#855d31,133,93,49
353,Peach,#fdb4a1,253,180,161
168,SilverGray,#b1aeb7,177,174,183
355,TerraCotta-DK,#97382b,151,56,43
